标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,概况,设施,链接,行政区,price,tj1
直租 科技园 高新园 大冲 深大地铁口大学生白领合租房,1100,7室3厅6卫,17平方米,南北,高层(共39层),精装修,公寓,大冲城市花园 (南山大冲),True,True,"电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,",https://sz.zu.anjuke.com/fangyuan/1704563568878602?isauction=2&shangquan_id=6102&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad-PH9LuAEvriYOPyPWsHw-nvnVmWDdPaYOPAPbP16-PyFhPyNKPHE1rjcQPHnQP1TLnHDKTHDLnjEdPWndPW93P19vnjcKrHmknTDOPWTkTHD_nHTKPTDQPWT1PjndnHcznW0zTHEzTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKPTDKsHDKTHD1nHbYPWbQn1mLPH0QPjDdnjEKP97Jpy7ZuHCkg1cdnjTKnEDOrADkuyRBPaYdPARBsHEQPjcVrH7-nBd-nWubnAR6uHn3PjcKnHnQrHEvrHD1rjmOrHDknjDvnTDQn1DOPjmOnHn3PWDQnjc1rj0YTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqkPat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQn97exEDQnjT1P9DQnjTQPWmdTHTznyuhn1KWsHT1nHbVPjN1nid6PyN3syn3m1bYuyD3rjE3mkDKPTDKTHTKPakQrjDQsjmQnjcKnE78IyQ_THn3uW-buy76m1nvmyFBnHN&lego_tid=021ff30c-0319-4531-a5e8-c8c94ea8848c,南山,"(1000.0, 1500.0]",True
龒龒号线福永站 温馨舒适 采光通风好 配套齐全 拎包入住,1400,1室0厅1卫,28平方米,朝南,高层(共8层),精装修,公寓,新和二区 (宝安福永),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,",https://sz.zu.anjuke.com/fangyuan/1664014476926987?isauction=2&shangquan_id=6154&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYkuWDvnHuBuid6ryD3sHwbujNVrAE3Pid-nvu6nhFbnynOnvmKPjTvrHEdnjn3PHE1PHnKTHDvPWEknHEYP1mOnWmOrj0KrjEknTD3PjTkTHD_nHTKPTDQPWT1Pjndn10zrjcOTHckTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKrEDKsHDKTHD1nHbYPW9zrjTknj0vn1T3Pj9KP97Jpy7ZuHCkg1cdnjTKnEDvPAuhnhDQPBdbPHcvsHEQujbVmWEQraYLuHFBrH-hPWbvPHbKnHnQrHEvrjc3nHDvPHcvnW9YrEDQn1DOPjm3nW9QnHTvPHn3PjbLTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqkrit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmdTHRWPHuBmvnYsyn3P1mVPjmYPzd6P1P6symkPHNzmHR6nHw-PkDKPTDKTHTKPakQrjDzsjmQPHEKnE78IyQ_THK6PjNznWNOP1bLujP-mW9&lego_tid=5c56bcc4-c876-4647-a73a-f0552a5a14e7,宝安,"(1000.0, 1500.0]",True
财富港对面 海城新村 单间龤龒餼餼  不用介绍费,1200,1室0厅1卫,16平方米,朝南,中层(共7层),精装修,公寓,海城新村 (宝安坪洲),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1669718317735937?isauction=2&shangquan_id=34419&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYkuWDvnHuBuid6ryD3sHwbujNVrAE3Pid-nvu6nhFbnynOnvmKrHbOnH0knWnLPHDLPEDKnHmvrH0QrjnQP101PHb1PkDQn1NknTDQn1NknTDQsjDkTHEKnHmkn1E1PHnLnW9zrEDYnE7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHbKTiYQTEDQn1DOPHTznjEvrjELPH0YnjDvTHmKph-6wvNln7tzPHTkTHDKnHRbmyEdnymVPWc3PiYYuHE1syDQmynVnym1nyN3rAubnyw6THD1nHbdnjckPj0znWbzPHNvrjDKnHnQrHNknWTYP1DvnWDYPW9QP9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jbf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPE76uH6-uAw6mBdBPjczsHwhuhcVrAPBnid6njubnWKbPA7-P1bKTHEKTEDkTHE_nH9QnBk1PjEQrEDQTyOdUAkKPvEQrH-WuyF-Pj9LnHTkP9&lego_tid=ae8eddab-b422-4ffb-8cb1-a06d20d4ae79,宝安,"(1000.0, 1500.0]",True
石岩上屋地铁口上屋小学田心新村园岭村田心幼儿园为民学校家电齐,1280,1室1厅1卫,35平方米,东南,中层(共14层),精装修,公寓,石岩公馆 (宝安石岩),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1703709946387457?isauction=2&shangquan_id=6156&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadWmWm3P10YPidWrHnQsHE1uAmVrjnLPaYOnH7-rAnLm1RbmWcKPWc3n10On19OPHDYn1TKTHDLnjnLnjbOPjm1rj0YPH0KnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1NYnWbLnHTKnHnKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQnTDKsHDKTHD1nHbYrjEYPjmdrj0YrHEYnjTKP97Jpy7ZuHCkg1cdnjTKnE76m1ndPjEQmiYkPjn1sHE1nAmVmW01uBYduHP6rjDznj--n1mKnHnQrHE3PjEYPW0krHDzrHcQP9DQn1DOPj9YPjEvPWn1PWnQP1EYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHTf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPE7BuW-huWbQnaYYuW6bsHE1PADVmWnYniY3mH-hPHNQrHIBuAnKTHEKTEDkTHE_nH9QnBkvnHNvTHDKUMR_UTDOrHDkrHD1nvNzPHNzrAN3&lego_tid=bf9ff910-4f8d-434a-b341-8a9f55197bdc,宝安,"(1000.0, 1500.0]",True
财富港对面 海城新村 单间餼麣龒龒  不用介绍费,1200,1室0厅1卫,16平方米,朝南,中层(共7层),精装修,公寓,海城新村 (宝安坪洲),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1669718317735937?isauction=2&shangquan_id=34419&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadWmWm3P10YPidWrHnQsHE1uAmVrjnLPaYOnH7-rAnLm1RbmWcKrHbOnH0knWnLPHDLPEDKnHmvrH0QrjnQP101PHb1PkDQn1NknTDQn1NknTDQsjDkTHEKnHmkn1E1PHEzrH0QnTDQPT7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHDkTEDVnEDKnHnQrHNknWTYPW9YP1NLPjTQP9DvTyGGmNI-rWKxnWNknTDQTywbrjK6PWIBsyDdPWcVPj9OnzdBuhNdsHckn1uWmv7WrjI-uEDQn1DOPHTznjELnWcOnWNdPW9QTHD1nHbdnjckPj0QPWcQPjm3nHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQnat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmdTyNzmWEzmycYsynkPW0VPj6Bmzd6nH-bsHmdPhP6m1E1nvmkPkDKPTDKTHTKPakQrjDzsjnYPjDOTHDKUMR_UTDdPjTOrjTYnWRbmhDOmHnL&lego_tid=e2b42ab4-c067-48bc-a19d-656cac433f07,宝安,"(1000.0, 1500.0]",True
急租！ 电梯房 精装修 网红公寓 大单间 安全可靠,1380,1室0厅1卫,38平方米,东南,中层(共10层),精装修,普通住宅,福海信息港 (宝安福永),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1692409023618048?isauction=2&shangquan_id=6154&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadWmWm3P10YPidWrHnQsHE1uAmVrjnLPaYOnH7-rAnLm1RbmWcKPHDdrHndrjcQPHbvn10KTHDvrHcYnjbknWnvnH9kPj9KrjEknTD3PjTkTHD_nHTKPTDQPWT1PjndPjcOP1DQTHnYTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKnHTKTiYQTEDQn1DOPjmdn1cdP191nHmvrH0vTHmKph-6wvNln7tzPHTkTHDKuWnznhcznWTVPHu6niYYPyRhsycLmvmVuAmvPHu-uWmYP16hTHD1nHbYPWN1nWmOP1TQPHNknjbKnHnQrHEvPHnzPW9LP19LPWczPTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDks1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnj0zPjDzm19VP1EkraYYmyEOsyDdn19VnHb1mhcznhN3nAczTEDYTEDKnTDYsjD3nHc_PWDdPTDQTyOdUAkKnW6-PjN1nvuBrHbkmWT1n9&lego_tid=072412c8-7408-4ad9-a538-193bb22e80b2,宝安,"(1000.0, 1500.0]",True
龒龒号线福永站 品牌公寓精装修 可养宠物 交通便利 拎包入住,1280,1室0厅1卫,25平方米,南北,中层(共6层),精装修,公寓,同泰时代中心 (宝安福永),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,",https://sz.zu.anjuke.com/fangyuan/1660827081890826?isauction=2&shangquan_id=6154&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadWmWm3P10YPidWrHnQsHE1uAmVrjnLPaYOnH7-rAnLm1RbmWcKPjTvrHEdnjn3PHE1PHnKTHDvPWT3nW0krjD3rHT3nWmKrjEknTD3PjTkTHD_nHTKPTDQPWT1PjndPjcOP1DzTHN1TNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKnHTKTiYQTEDQn1DOPjmLn1D1njcLPWcYrHmkTHmKph-6wvNln7tzPHTkTHDKPHbOnHRbuhcVnWE3raYYm1NdsyDkPWbVuW9zm17hmhD3PvNkTHD1nHbYPW01nHEQnWc1n1Eznj9KnHnQrHEvP1nQPjTYPW91PW01P9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDks1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnH-buhP-nWDVmHFBniYYuA7hsH9OuyDVmyDQnhE3PvDvrAcvTEDYTEDKnTDYsjD3nHc_PWDdPTDQTyOdUAkKPjndmWm1nvnduWTQuAEdPk&lego_tid=19dfce21-a2b1-4daf-89ea-aa12d87a68b6,宝安,"(1000.0, 1500.0]",True
可短租！押一！可短租单间 驋驋号线福永地铁站 家电家私齐全,1380,1室0厅1卫,30平方米,朝南,中层(共9层),精装修,普通住宅,同泰时代中心 (宝安福永),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1692409141208064?isauction=2&shangquan_id=6154&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadWmWm3P10YPidWrHnQsHE1uAmVrjnLPaYOnH7-rAnLm1RbmWcKPHDdrHndrjcQPHbvn10KTHDvrHcYnjbQPjDznj9kPWEKrjEknTD3PjTkTHD_nHTKPTDQPWT1PjndPjcOP1DzTHNvTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKnHTKTiYQTEDQn1DOPjmdPjEQPjnvrHTQn10vTHmKph-6wvNln7tzPHTkTHDKnWN1nHuWPHnVuWcQPBYYn1m1sH9vm10VnHDzryE1PAPhPAPbTHD1nHbYPWNYPjcdPWNQPWbQPHcKnHnQrHEvPHEYnWE3PHE3nHELn9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDks1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKmW91nycdnWcVuWbdnzYYuHnLsHbYrynVmyRhuAnOmHKWPymLTEDYTEDKnTDYsjD3nHc_PWDdPTDQTyOdUAkKuH0zP1TzuAnzuWTYnHbQuE&lego_tid=b831b522-f953-4e37-949c-aefdc9a0c5f7,宝安,"(1000.0, 1500.0]",True
精美小复式  家私家电全拎包入住 有厨房 温馨舒适,1200,1室0厅1卫,24平方米,朝南,中层(共8层),精装修,公寓,新屋村 (南山桃源村),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1443973250112526?isauction=6&shangquan_id=6111&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadBPWNQmhDQmBYOn1nQsHE3myDVryNYnzdhm1mvmvnQrA7bP1TKnHTkPWNvn1bvTEDQPjE1rH01nWNknHDzPHcvTHTKnHTkTHD_nHTKPTDQPWT1PjndPj9zP1bQTHDQTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDQTEDVnEDKnHnQrj0znj0OrjbLn10vn1N3PTDvTyGGmNI-rWKxnWNknTDQTHnOnhnkuj6bsHbzmHbVPAnOriY3rjcksHRBnjEOuWK-uj9OrEDQn1D3P1ckP1bOnj0YPjcvrj9kTHD1nH9LnWTLrH9OrH9On1ndnjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQnit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TycQrAcduhwhsHuWmW9VPAEduadBmHPWsHwbnA7-Pv7-uW-6nTDKPTDKTHnKPakQrjDQsjmQnHDKnE78IyQ_TyubnvEOmWbzuhNzuHIhuHE&lego_tid=b18b5fdf-6cb8-4d5d-ba3c-4d0ae7aef9a0,南山,"(1000.0, 1500.0]",True
近西丽地铁站 精装公寓房出租 配套齐全拎包入住 单间鸺龤龤起,900,1室0厅1卫,14平方米,东南,中层(共8层),精装修,公寓,新围综合楼 (南山西丽),True,True,"洗衣机,热水器,宽带,沙发,空调,衣柜,床,卫生间,暖气,",https://sz.zu.anjuke.com/fangyuan/1240936163975169?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadBPWNQmhDQmBYOn1nQsHE3myDVryNYnzdhm1mvmvnQrA7bP1TKP101rH9dPTDKnHcYnjb1PWDvn1bLPHDvrEDkTHDknTDQsjDkTHEKnHmkn1E1PHE3nW0On9D1rTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQnEDKsHDKTHD1nH9kPH9kn193PjDdrjDdPW9KP97Jpy7ZuHCkg1cdnjTKnE7BP1w-PvPbmBYdPyEksHE3mWcVrjuhPzd6rjPBrHnvm1w6rHDKnHnQrjTdrjT1rjb1n19vnjndn9DQn1D3njN3njn3rj0On1nkn1TYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHDf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk76PWTYmWuBriYLPyE3sHw-uHmVmhcLmiYYnHczuyD3PW6bnjDKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDdPhu6rjIbnjnQnHNLnjEL&lego_tid=a604b6b9-75d8-4ee6-bb7a-4122ea868d01,南山,"(500.0, 1000.0]",True
